"","tract_name","freq","city"
"1","Census Tract 1",318,"DC"
"2","Census Tract 2.01",68,"DC"
"3","Census Tract 2.02",425,"DC"
"4","Census Tract 3",166,"DC"
"5","Census Tract 4",75,"DC"
"6","Census Tract 5.01",89,"DC"
"7","Census Tract 5.02",62,"DC"
"8","Census Tract 6",123,"DC"
"9","Census Tract 7.01",75,"DC"
"10","Census Tract 7.02",55,"DC"
"11","Census Tract 8.01",108,"DC"
"12","Census Tract 8.02",99,"DC"
"13","Census Tract 9.01",102,"DC"
"14","Census Tract 9.02",50,"DC"
"15","Census Tract 10.01",362,"DC"
"16","Census Tract 10.02",62,"DC"
"17","Census Tract 11",215,"DC"
"18","Census Tract 12",175,"DC"
"19","Census Tract 13.01",25,"DC"
"20","Census Tract 13.02",85,"DC"
"21","Census Tract 14.01",57,"DC"
"22","Census Tract 14.02",56,"DC"
"23","Census Tract 15",72,"DC"
"24","Census Tract 16",181,"DC"
"25","Census Tract 17.02",156,"DC"
"26","Census Tract 18.03",82,"DC"
"27","Census Tract 18.04",192,"DC"
"28","Census Tract 19.01",173,"DC"
"29","Census Tract 19.02",113,"DC"
"30","Census Tract 20.01",89,"DC"
"31","Census Tract 20.02",202,"DC"
"32","Census Tract 21.01",244,"DC"
"33","Census Tract 21.02",219,"DC"
"34","Census Tract 22.01",109,"DC"
"35","Census Tract 22.02",126,"DC"
"36","Census Tract 23.01",102,"DC"
"37","Census Tract 23.02",76,"DC"
"38","Census Tract 24",171,"DC"
"39","Census Tract 25.01",117,"DC"
"40","Census Tract 25.02",334,"DC"
"41","Census Tract 26",109,"DC"
"42","Census Tract 27.01",126,"DC"
"43","Census Tract 27.02",214,"DC"
"44","Census Tract 28.01",131,"DC"
"45","Census Tract 28.02",320,"DC"
"46","Census Tract 29",246,"DC"
"47","Census Tract 30",438,"DC"
"48","Census Tract 31",257,"DC"
"49","Census Tract 32",268,"DC"
"50","Census Tract 33.01",139,"DC"
"51","Census Tract 33.02",80,"DC"
"52","Census Tract 34",220,"DC"
"53","Census Tract 35",201,"DC"
"54","Census Tract 36",240,"DC"
"55","Census Tract 37",188,"DC"
"56","Census Tract 38",251,"DC"
"57","Census Tract 39",168,"DC"
"58","Census Tract 40.01",125,"DC"
"59","Census Tract 40.02",206,"DC"
"60","Census Tract 41",122,"DC"
"61","Census Tract 42.01",99,"DC"
"62","Census Tract 42.02",166,"DC"
"63","Census Tract 43",241,"DC"
"64","Census Tract 44",609,"DC"
"65","Census Tract 46",208,"DC"
"66","Census Tract 47.01",142,"DC"
"67","Census Tract 47.02",112,"DC"
"68","Census Tract 48.01",198,"DC"
"69","Census Tract 48.02",122,"DC"
"70","Census Tract 49.01",125,"DC"
"71","Census Tract 49.02",153,"DC"
"72","Census Tract 50.01",160,"DC"
"73","Census Tract 50.02",166,"DC"
"74","Census Tract 52.01",363,"DC"
"75","Census Tract 53.01",196,"DC"
"76","Census Tract 55",467,"DC"
"77","Census Tract 56",139,"DC"
"78","Census Tract 58",894,"DC"
"79","Census Tract 59",124,"DC"
"80","Census Tract 62.02",193,"DC"
"81","Census Tract 64",123,"DC"
"82","Census Tract 65",107,"DC"
"83","Census Tract 66",83,"DC"
"84","Census Tract 67",163,"DC"
"85","Census Tract 68.01",82,"DC"
"86","Census Tract 68.02",55,"DC"
"87","Census Tract 68.04",46,"DC"
"88","Census Tract 69",151,"DC"
"89","Census Tract 70",205,"DC"
"90","Census Tract 71",279,"DC"
"91","Census Tract 72",126,"DC"
"92","Census Tract 73.04",239,"DC"
"93","Census Tract 74.01",235,"DC"
"94","Census Tract 74.03",159,"DC"
"95","Census Tract 74.04",199,"DC"
"96","Census Tract 74.06",142,"DC"
"97","Census Tract 74.07",157,"DC"
"98","Census Tract 74.08",139,"DC"
"99","Census Tract 74.09",254,"DC"
"100","Census Tract 75.02",223,"DC"
"101","Census Tract 75.03",164,"DC"
"102","Census Tract 75.04",206,"DC"
"103","Census Tract 76.01",215,"DC"
"104","Census Tract 76.03",226,"DC"
"105","Census Tract 76.04",169,"DC"
"106","Census Tract 76.05",92,"DC"
"107","Census Tract 77.03",277,"DC"
"108","Census Tract 77.07",205,"DC"
"109","Census Tract 77.08",124,"DC"
"110","Census Tract 77.09",78,"DC"
"111","Census Tract 78.03",246,"DC"
"112","Census Tract 78.04",228,"DC"
"113","Census Tract 78.06",209,"DC"
"114","Census Tract 78.07",149,"DC"
"115","Census Tract 78.08",187,"DC"
"116","Census Tract 78.09",222,"DC"
"117","Census Tract 79.01",212,"DC"
"118","Census Tract 79.03",120,"DC"
"119","Census Tract 80.01",151,"DC"
"120","Census Tract 80.02",164,"DC"
"121","Census Tract 81",108,"DC"
"122","Census Tract 82",64,"DC"
"123","Census Tract 83.01",103,"DC"
"124","Census Tract 83.02",140,"DC"
"125","Census Tract 84.02",203,"DC"
"126","Census Tract 84.1",135,"DC"
"127","Census Tract 87.01",141,"DC"
"128","Census Tract 87.02",133,"DC"
"129","Census Tract 88.02",262,"DC"
"130","Census Tract 88.03",261,"DC"
"131","Census Tract 88.04",151,"DC"
"132","Census Tract 89.03",105,"DC"
"133","Census Tract 89.04",182,"DC"
"134","Census Tract 90",57,"DC"
"135","Census Tract 91.02",330,"DC"
"136","Census Tract 92.01",86,"DC"
"137","Census Tract 92.03",95,"DC"
"138","Census Tract 92.04",120,"DC"
"139","Census Tract 93.01",209,"DC"
"140","Census Tract 93.02",90,"DC"
"141","Census Tract 94",154,"DC"
"142","Census Tract 95.01",117,"DC"
"143","Census Tract 95.03",92,"DC"
"144","Census Tract 95.04",148,"DC"
"145","Census Tract 95.05",119,"DC"
"146","Census Tract 95.07",34,"DC"
"147","Census Tract 95.08",104,"DC"
"148","Census Tract 95.09",76,"DC"
"149","Census Tract 96.01",194,"DC"
"150","Census Tract 96.02",159,"DC"
"151","Census Tract 96.03",284,"DC"
"152","Census Tract 96.04",91,"DC"
"153","Census Tract 97",140,"DC"
"154","Census Tract 98.01",96,"DC"
"155","Census Tract 98.02",70,"DC"
"156","Census Tract 98.03",191,"DC"
"157","Census Tract 98.04",202,"DC"
"158","Census Tract 98.07",221,"DC"
"159","Census Tract 98.1",230,"DC"
"160","Census Tract 98.11",226,"DC"
"161","Census Tract 99.01",102,"DC"
"162","Census Tract 99.02",107,"DC"
"163","Census Tract 99.03",86,"DC"
"164","Census Tract 99.04",86,"DC"
"165","Census Tract 99.05",156,"DC"
"166","Census Tract 99.06",85,"DC"
"167","Census Tract 99.07",133,"DC"
"168","Census Tract 101",389,"DC"
"169","Census Tract 102",170,"DC"
"170","Census Tract 103",94,"DC"
"171","Census Tract 104",330,"DC"
"172","Census Tract 105",89,"DC"
"173","Census Tract 106",456,"DC"
"174","Census Tract 107",858,"DC"
"175","Census Tract 108",200,"DC"
"176","Census Tract 109",280,"DC"
"177","Census Tract 110",81,"DC"
"178","Census Tract 111",498,"DC"
