"","geoid10","Frequency"
"1","36005000100",115
"2","36005000200",230
"3","36005000400",287
"4","36005001600",359
"5","36005001900",387
"6","36005002000",680
"7","36005002300",528
"8","36005002400",33
"9","36005002500",487
"10","36005002701",259
"11","36005002702",293
"12","36005002800",461
"13","36005003100",80
"14","36005003300",358
"15","36005003500",231
"16","36005003700",111
"17","36005003800",73
"18","36005003900",834
"19","36005004001",161
"20","36005004100",862
"21","36005004200",1032
"22","36005004300",646
"23","36005004400",385
"24","36005004600",397
"25","36005004800",393
"26","36005005001",466
"27","36005005002",382
"28","36005005100",975
"29","36005005200",243
"30","36005005300",402
"31","36005005400",645
"32","36005005600",299
"33","36005005902",78
"34","36005006000",237
"35","36005006100",197
"36","36005006200",580
"37","36005006300",1241
"38","36005006400",279
"39","36005006500",1102
"40","36005006700",1073
"41","36005006800",352
"42","36005006900",559
"43","36005007000",369
"44","36005007100",354
"45","36005007200",336
"46","36005007300",479
"47","36005007400",240
"48","36005007500",455
"49","36005007600",504
"50","36005007700",210
"51","36005007800",463
"52","36005007900",646
"53","36005008300",396
"54","36005008400",102
"55","36005008500",498
"56","36005008600",382
"57","36005008700",616
"58","36005008900",304
"59","36005009000",460
"60","36005009200",349
"61","36005009300",1233
"62","36005009600",278
"63","36005009800",308
"64","36005011000",65
"65","36005011502",584
"66","36005011700",242
"67","36005011800",103
"68","36005011900",585
"69","36005012101",226
"70","36005012102",120
"71","36005012300",243
"72","36005012500",264
"73","36005012701",402
"74","36005012901",460
"75","36005013000",71
"76","36005013100",500
"77","36005013200",207
"78","36005013300",540
"79","36005013500",462
"80","36005013800",125
"81","36005014100",303
"82","36005014300",73
"83","36005014400",455
"84","36005014500",401
"85","36005014701",445
"86","36005014702",350
"87","36005014900",232
"88","36005015100",377
"89","36005015200",96
"90","36005015300",282
"91","36005015500",366
"92","36005015700",276
"93","36005015800",98
"94","36005015900",473
"95","36005016000",121
"96","36005016100",433
"97","36005016200",98
"98","36005016300",218
"99","36005016400",79
"100","36005016500",242
"101","36005016600",108
"102","36005016700",292
"103","36005016900",112
"104","36005017100",110
"105","36005017300",541
"106","36005017500",633
"107","36005017701",544
"108","36005017702",830
"109","36005017901",432
"110","36005017902",230
"111","36005018101",286
"112","36005018102",357
"113","36005018301",231
"114","36005018302",456
"115","36005018400",223
"116","36005018500",812
"117","36005018900",608
"118","36005019300",540
"119","36005019400",131
"120","36005019500",802
"121","36005019700",655
"122","36005019900",433
"123","36005020000",414
"124","36005020100",415
"125","36005020200",168
"126","36005020400",141
"127","36005020501",342
"128","36005020502",147
"129","36005020601",195
"130","36005020900",354
"131","36005021001",346
"132","36005021002",245
"133","36005021100",340
"134","36005021200",138
"135","36005021301",83
"136","36005021302",296
"137","36005021501",236
"138","36005021502",429
"139","36005021601",394
"140","36005021602",415
"141","36005021700",420
"142","36005021800",431
"143","36005021900",444
"144","36005022000",336
"145","36005022101",338
