"","tract_name","freq","city"
"1","Census Tract 1",111,"Bronx"
"2","Census Tract 110",39,"Bronx"
"3","Census Tract 115.02",387,"Bronx"
"4","Census Tract 117",140,"Bronx"
"5","Census Tract 118",72,"Bronx"
"6","Census Tract 119",376,"Bronx"
"7","Census Tract 121.01",144,"Bronx"
"8","Census Tract 121.02",69,"Bronx"
"9","Census Tract 123",151,"Bronx"
"10","Census Tract 125",158,"Bronx"
"11","Census Tract 127.01",224,"Bronx"
"12","Census Tract 129.01",289,"Bronx"
"13","Census Tract 130",49,"Bronx"
"14","Census Tract 131",353,"Bronx"
"15","Census Tract 132",142,"Bronx"
"16","Census Tract 133",368,"Bronx"
"17","Census Tract 135",334,"Bronx"
"18","Census Tract 138",101,"Bronx"
"19","Census Tract 141",204,"Bronx"
"20","Census Tract 143",44,"Bronx"
"21","Census Tract 144",305,"Bronx"
"22","Census Tract 145",262,"Bronx"
"23","Census Tract 147.01",284,"Bronx"
"24","Census Tract 147.02",224,"Bronx"
"25","Census Tract 149",145,"Bronx"
"26","Census Tract 151",233,"Bronx"
"27","Census Tract 152",63,"Bronx"
"28","Census Tract 153",154,"Bronx"
"29","Census Tract 155",227,"Bronx"
"30","Census Tract 157",174,"Bronx"
"31","Census Tract 158",64,"Bronx"
"32","Census Tract 159",336,"Bronx"
"33","Census Tract 16",224,"Bronx"
"34","Census Tract 160",86,"Bronx"
"35","Census Tract 161",297,"Bronx"
"36","Census Tract 162",63,"Bronx"
"37","Census Tract 163",141,"Bronx"
"38","Census Tract 164",52,"Bronx"
"39","Census Tract 165",144,"Bronx"
"40","Census Tract 166",73,"Bronx"
"41","Census Tract 167",160,"Bronx"
"42","Census Tract 169",83,"Bronx"
"43","Census Tract 171",76,"Bronx"
"44","Census Tract 173",374,"Bronx"
"45","Census Tract 175",430,"Bronx"
"46","Census Tract 177.01",380,"Bronx"
"47","Census Tract 177.02",573,"Bronx"
"48","Census Tract 179.01",288,"Bronx"
"49","Census Tract 179.02",154,"Bronx"
"50","Census Tract 181.01",217,"Bronx"
"51","Census Tract 181.02",222,"Bronx"
"52","Census Tract 183.01",176,"Bronx"
"53","Census Tract 183.02",294,"Bronx"
"54","Census Tract 184",141,"Bronx"
"55","Census Tract 185",523,"Bronx"
"56","Census Tract 189",457,"Bronx"
"57","Census Tract 19",270,"Bronx"
"58","Census Tract 193",375,"Bronx"
"59","Census Tract 194",86,"Bronx"
"60","Census Tract 195",533,"Bronx"
"61","Census Tract 197",406,"Bronx"
"62","Census Tract 199",284,"Bronx"
"63","Census Tract 2",169,"Bronx"
"64","Census Tract 20",480,"Bronx"
"65","Census Tract 200",259,"Bronx"
"66","Census Tract 201",262,"Bronx"
"67","Census Tract 202",105,"Bronx"
"68","Census Tract 204",83,"Bronx"
"69","Census Tract 205.01",221,"Bronx"
"70","Census Tract 205.02",92,"Bronx"
"71","Census Tract 206.01",123,"Bronx"
"72","Census Tract 209",236,"Bronx"
"73","Census Tract 210.01",220,"Bronx"
"74","Census Tract 210.02",158,"Bronx"
"75","Census Tract 211",239,"Bronx"
"76","Census Tract 212",103,"Bronx"
"77","Census Tract 213.01",65,"Bronx"
"78","Census Tract 213.02",192,"Bronx"
"79","Census Tract 215.01",150,"Bronx"
"80","Census Tract 215.02",280,"Bronx"
"81","Census Tract 216.01",275,"Bronx"
"82","Census Tract 216.02",298,"Bronx"
"83","Census Tract 217",286,"Bronx"
"84","Census Tract 218",299,"Bronx"
"85","Census Tract 219",279,"Bronx"
"86","Census Tract 220",198,"Bronx"
"87","Census Tract 221.01",226,"Bronx"
"88","Census Tract 221.02",380,"Bronx"
"89","Census Tract 222",265,"Bronx"
"90","Census Tract 223",316,"Bronx"
"91","Census Tract 224.01",98,"Bronx"
"92","Census Tract 224.03",228,"Bronx"
"93","Census Tract 224.04",103,"Bronx"
"94","Census Tract 225",471,"Bronx"
"95","Census Tract 227.01",150,"Bronx"
"96","Census Tract 227.02",114,"Bronx"
"97","Census Tract 227.03",105,"Bronx"
"98","Census Tract 228",89,"Bronx"
"99","Census Tract 229.01",309,"Bronx"
"100","Census Tract 229.02",195,"Bronx"
"101","Census Tract 23",403,"Bronx"
"102","Census Tract 230",112,"Bronx"
"103","Census Tract 231",106,"Bronx"
"104","Census Tract 232",94,"Bronx"
"105","Census Tract 233.01",283,"Bronx"
"106","Census Tract 233.02",215,"Bronx"
"107","Census Tract 235.01",141,"Bronx"
"108","Census Tract 235.02",180,"Bronx"
"109","Census Tract 236",73,"Bronx"
