"","geoid10","Pop"
"1",36005000100,11091
"2",36005011502,4340
"3",36005011700,1585
"4",36005011800,5089
"5",36005011900,5698
"6",36005012101,3090
"7",36005012102,1631
"8",36005012300,4152
"9",36005012500,3905
"10",36005012701,2253
"11",36005012901,4015
"12",36005013000,1032
"13",36005013100,5103
"14",36005013200,5890
"15",36005013300,6384
"16",36005013500,3583
"17",36005013800,3042
"18",36005014100,3437
"19",36005014400,5880
"20",36005014500,5816
"21",36005014701,6461
"22",36005014702,5110
"23",36005014900,4591
"24",36005015100,5409
"25",36005015200,2341
"26",36005015300,4031
"27",36005015500,3005
"28",36005015700,3580
"29",36005015800,1206
"30",36005015900,2164
"31",36005001600,5643
"32",36005016000,3767
"33",36005016100,4380
"34",36005016200,1769
"35",36005016400,1141
"36",36005016500,1077
"37",36005016600,2166
"38",36005016700,2047
"39",36005016900,1663
"40",36005017300,5987
"41",36005017500,6911
"42",36005017701,4294
"43",36005017702,4805
"44",36005017901,4677
"45",36005017902,3587
"46",36005018101,3300
"47",36005018102,5555
"48",36005018301,4525
"49",36005018302,3647
"50",36005018400,3855
"51",36005018500,7466
"52",36005018900,7752
"53",36005001900,1917
"54",36005019300,5461
"55",36005019400,1903
"56",36005019500,7756
"57",36005019700,7501
"58",36005019900,8154
"59",36005000200,4334
"60",36005002000,8731
"61",36005020000,4878
"62",36005020100,4013
"63",36005020200,2155
"64",36005020400,2976
"65",36005020501,6996
"66",36005020502,1764
"67",36005020601,3050
"68",36005020900,4361
"69",36005021001,8521
"70",36005021002,6839
"71",36005021100,5565
"72",36005021200,5267
"73",36005021301,1201
"74",36005021302,5415
"75",36005021501,3506
"76",36005021502,6051
"77",36005021601,4206
"78",36005021602,5769
"79",36005021700,5334
"80",36005021800,6499
"81",36005021900,1367
"82",36005022000,1487
"83",36005022101,3849
"84",36005022102,5488
"85",36005022200,3425
"86",36005022300,5047
"87",36005022401,2708
"88",36005022403,3188
"89",36005022404,4509
"90",36005022500,7698
"91",36005022701,5196
"92",36005022702,1699
"93",36005022703,1556
"94",36005022800,6218
"95",36005022901,5370
"96",36005022902,3273
"97",36005002300,4933
"98",36005023000,2950
"99",36005023100,1537
"100",36005023200,2661
"101",36005023301,4377
"102",36005023302,3415
"103",36005023501,3341
"104",36005023502,4386
"105",36005023600,1907
"106",36005023702,1241
"107",36005023703,5253
"108",36005023704,3758
"109",36005023800,2615
"110",36005023900,8348
"111",36005024000,3882
"112",36005024100,6182
"113",36005024300,5685
"114",36005024400,2120
"115",36005024501,4864
"116",36005024502,3640
"117",36005024600,2058
"118",36005024700,1764
"119",36005024800,3363
"120",36005002500,5491
"121",36005025000,2383
"122",36005025100,6802
"123",36005025200,2530
"124",36005025300,6332
"125",36005025400,1959
"126",36005025500,6529
"127",36005025600,1663
"128",36005025700,1912
"129",36005026100,1932
"130",36005026300,6984
"131",36005026400,4935
"132",36005026500,6942
"133",36005026601,2911
"134",36005026602,5301
"135",36005026701,4037
"136",36005026702,7040
"137",36005026900,3777
"138",36005002701,3113
"139",36005002702,4475
"140",36005027300,7942
"141",36005027401,4785
"142",36005027402,3386
"143",36005027700,5065
"144",36005027900,6966
"145",36005002800,5586
"146",36005028100,3794
"147",36005028300,3149
"148",36005028400,894
"149",36005028500,3307
"150",36005028600,1191
"151",36005028700,3178
"152",36005028800,3097
"153",36005028900,4502
"154",36005029301,1875
"155",36005029302,5052
"156",36005029500,4240
"157",36005029600,2549
"158",36005029700,3554
"159",36005030000,5838
"160",36005030100,1304
"161",36005030200,8887
"162",36005030701,5378
"163",36005030900,3891
"164",36005003100,1597
"165",36005031000,4415
"166",36005031200,1524
"167",36005031400,1966
"168",36005031600,1863
"169",36005031800,1810
"170",36005032300,4904
"171",36005032400,2957
"172",36005032600,3154
"173",36005032800,3979
"174",36005003300,3413
"175",36005033000,5696
"176",36005033201,4115
"177",36005033202,4167
"178",36005033500,2178
"179",36005033600,6188
"180",36005033700,2357
"181",36005033800,3818
"182",36005034000,4618
"183",36005034200,1675
"184",36005034300,1649
"185",36005034400,1736
"186",36005034500,3566
"187",36005034800,6129
"188",36005003500,3761
"189",36005035000,1925
"190",36005035100,3186
"191",36005035600,2027
"192",36005035800,7166
"193",36005035900,2061
"194",36005036000,2706
"195",36005036100,6019
"196",36005036300,7509
"197",36005036400,2557
"198",36005036501,3965
"199",36005036502,2423
"200",36005036700,2599
"201",36005036800,2011
"202",36005036901,2005
"203",36005036902,2119
"204",36005037000,2303
"205",36005037100,4241
"206",36005037200,2222
"207",36005037300,5318
"208",36005037400,3441
"209",36005037504,3677
"210",36005037600,2148
"211",36005037800,3048
"212",36005037900,5093
"213",36005003800,1264
"214",36005038000,4585
"215",36005038100,6382
"216",36005038200,2596
"217",36005038301,4797
"218",36005038302,6106
"219",36005038500,4758
"220",36005038600,7409
"221",36005038700,3216
"222",36005038800,2606
"223",36005038900,5325
"224",36005003900,6475
"225",36005039000,2975
"226",36005039100,6992
"227",36005039200,1781
"228",36005039300,8143
"229",36005039400,4573
"230",36005039500,4146
"231",36005039600,3756
"232",36005039700,3702
"233",36005039800,3090
"234",36005039901,5228
"235",36005039902,5279
"236",36005000400,5503
"237",36005004001,1420
"238",36005040100,4593
"239",36005040302,4386
"240",36005040303,4478
"241",36005040304,3794
"242",36005040400,3016
"243",36005040501,4397
"244",36005040502,6863
"245",36005040600,3490
"246",36005040701,3347
"247",36005040702,6652
"248",36005040800,4263
"249",36005040900,3637
"250",36005004100,6127
"251",36005041100,2931
"252",36005041300,7384
"253",36005041400,5027
"254",36005041500,5461
"255",36005041800,3598
"256",36005041900,6734
"257",36005004200,7143
"258",36005042000,3850
"259",36005042100,5922
"260",36005042200,3086
"261",36005042300,4100
"262",36005042400,2481
"263",36005042500,6793
"264",36005042600,6387
"265",36005042800,2173
"266",36005042901,3420
"267",36005042902,3845
"268",36005004300,5056
"269",36005043000,2898
"270",36005043100,9680
"271",36005043400,3592
"272",36005043600,2032
"273",36005004400,4797
"274",36005044200,3555
"275",36005044400,3878
"276",36005044800,2026
"277",36005044901,1818
"278",36005044902,1949
"279",36005045101,1656
"280",36005045102,1894
"281",36005045600,2896
"282",36005045800,6123
"283",36005004600,1555
"284",36005046000,2741
"285",36005046201,26588
"286",36005046202,8277
"287",36005004800,3883
"288",36005048400,3598
"289",36005005001,4767
"290",36005005002,5823
"291",36005005100,5810
"292",36005051600,4362
"293",36005005200,2031
"294",36005005300,4669
"295",36005005400,5853
"296",36005005600,2711
"297",36005005902,2582
"298",36005006000,1129
"299",36005006100,3713
"300",36005006200,6585
"301",36005006300,5280
"302",36005006400,3967
"303",36005006500,5337
"304",36005006700,6984
"305",36005006800,2897
"306",36005006900,7564
"307",36005007000,4584
"308",36005007100,1907
"309",36005007200,5432
"310",36005007300,3893
"311",36005007400,3710
"312",36005007500,4869
"313",36005007600,5190
"314",36005007700,1927
"315",36005007800,6418
"316",36005007900,6733
"317",36005008300,6155
"318",36005008400,2374
"319",36005008500,5457
"320",36005008600,4176
"321",36005008700,5466
"322",36005008900,3177
"323",36005009000,3667
"324",36005009200,5017
"325",36005009300,6356
"326",36005009600,2594
"327",36005009800,5038
"328",36047000100,4338
"329",36047010000,6737
"330",36047100400,2567
"331",36047100600,2489
"332",36047100800,2124
"333",36047010100,4093
"334",36047101000,2318
"335",36047101200,1932
"336",36047101400,2160
"337",36047101600,1464
"338",36047101800,1851
"339",36047010200,5622
"340",36047102000,1922
"341",36047102200,2075
"342",36047102400,2123
"343",36047102600,2771
"344",36047102800,1579
"345",36047103400,3918
"346",36047010400,5908
"347",36047105801,6928
"348",36047105804,6426
"349",36047010600,5851
"350",36047107000,322
"351",36047107800,3849
"352",36047010800,5280
"353",36047109800,1917
